Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Total Deaths,Total Injuries,Total Houses Destroyed
1954,7,21,Midagahara,Honshu-Japan,Japan,36.571,137.59,2621,Stratovolcano,,1,,
1954,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,,2,,
1955,7,26,Carran-Los Venados,Chile-C,Chile,-40.35,-72.07,1114,Pyroclastic cone,4,2,,
1957,7,,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,,13,,
1957,10,13,Izu-Oshima,Izu Is-Japan,Japan,34.724,139.394,746,Stratovolcano,2,1,53,
1957,10,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,12,,
1958,7,12,Mahawu,Sulawesi-Indonesia,Indonesia,1.352,124.865,1299,Stratovolcano,2,1,10,
1958,7,21,Taisetsuzan,Hokkaido-Japan,Japan,43.664,142.854,2291,Stratovolcano,,2,,
1961,4,23,Midagahara,Honshu-Japan,Japan,36.571,137.59,2621,Stratovolcano,,1,,
1961,5,8,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,6,6,
1961,6,18,Taisetsuzan,Hokkaido-Japan,Japan,43.664,142.854,2291,Stratovolcano,,2,,
1961,8,18,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,1,,
1962,6,29,Tokachidake,Hokkaido-Japan,Japan,43.418,142.686,2077,Stratovolcano,3,5,11,
1962,10,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,2,,
1962,12,31,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,2,5,5,
1963,3,17,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3436,Stratovolcano,3,15,,
1963,3,18,Agung,Lesser Sunda Is,Indonesia,-8.343,115.508,2997,Stratovolcano,5,1028,624,
1963,5,5,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,1,,
1963,5,16,Agung,Lesser Sunda Is,Indonesia,-8.343,115.508,2997,Stratovolcano,3,120,,
1963,9,5,Batur,Lesser Sunda Is,Indonesia,-8.242,115.375,1717,Caldera,2,2,,
1963,9,28,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,7,,
1963,12,10,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3436,Stratovolcano,3,40,,400
1964,1,1,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,2,1,3,
1964,3,3,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,25,,
1964,12,13,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,1,114,,
1965,9,28,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,355,,
1966,4,26,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,4,215,86,
1966,8,12,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,4,39,1000,
1967,8,31,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,3,,
1967,11,4,Midagahara,Honshu-Japan,Japan,36.571,137.59,2621,Stratovolcano,,2,,
1968,4,21,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,6,,
1968,7,29,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,80,,
1969,1,7,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,3,,
1969,1,28,Iya,Lesser Sunda Is,Indonesia,-8.891,121.641,618,Stratovolcano,3,2,10,287
1969,8,26,Naruko,Honshu-Japan,Japan,38.729,140.734,470,Caldera,,1,,
1970,3,2,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,,3,,
1971,8,12,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,3,3,,
1971,9,14,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,10,,
1971,10,29,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,15,,
1971,12,27,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,,6,,
1972,6,9,"Fournaise, Piton de la",Indian O-W,Reunion,-21.244,55.708,2632,Shield volcano,2,3,,
1972,10,2,Hakoneyama,Honshu-Japan,Japan,35.233,139.021,1438,Complex volcano,,2,,
1973,1,27,Vestmannaeyjar,Iceland-S,Iceland,63.416,-20.266,283,Submarine volcano,3,1,,300
1973,4,5,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,,2,,
1974,2,11,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,4,,
1974,6,17,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,3,3,,
1974,7,28,Niigata-Yakeyama,Honshu-Japan,Japan,36.921,138.036,2400,Lava dome,2,3,,
1974,8,9,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,3,5,,
1974,10,22,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,9,,6
1975,1,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,2,80,,
1975,6,17,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,2,,
1976,8,3,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,,3,,
1976,8,12,Sangay,Ecuador,Ecuador,-2.005,-78.341,5286,Stratovolcano,3,2,4,
1976,8,31,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,119,,
1976,9,15,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,2,1,1,24
1976,11,25,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,29,,
1977,8,2,Klyuchevskoy,Kamchatka,Russia,56.056,160.642,4754,Stratovolcano,3,1,,
1977,8,7,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,3,3,,
1978,9,2,Santa Maria,Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,3,1,,
1978,9,19,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,12,,
1978,10,24,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,3,3,2,
1978,,,Tangkuban Parahu,Java,Indonesia,-6.77,107.6,2084,Stratovolcano,,3,,
1979,2,20,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,1,149,,
1979,3,8,Karkar,New Guinea-NE of,Papua New Guinea,-4.647,145.976,1839,Stratovolcano,2,2,,
1979,4,13,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,3,2,,
1979,7,5,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2,9,23,
1979,9,6,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,3,11,
1980,5,18,St. Helens,US-Washington,United States,46.2,-122.18,2549,Stratovolcano,5,61,,
1980,12,25,Hood,US-Oregon,United States,45.374,-121.695,3426,Stratovolcano,,1,,
1981,3,29,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,1,,
1981,5,14,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,372,152,
1981,6,30,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,200,,
1982,3,29,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,1879,,
1982,4,4,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,33,,
1982,5,17,Galunggung,Java,Indonesia,-7.25,108.058,2168,Stratovolcano,4,68,,
1982,5,27,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,1,,
1983,3,8,Klyuchevskoy,Kamchatka,Russia,56.056,160.642,4754,Stratovolcano,2,1,,
1984,8,15,Oku Volcanic Field,Africa-W,Cameroon,6.25,10.5,3011,Maar,,37,,
1984,9,9,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,1,,
1984,9,14,Ontakesan,Honshu-Japan,Japan,35.893,137.48,3067,Complex volcano,,29,,
1984,10,16,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,1,,
1985,5,10,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,70,,
1985,11,13,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279,Stratovolcano,3,23080,10000,
1985,12,19,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1,1,,
1986,5,8,Akita-Yakeyama,Honshu-Japan,Japan,39.964,140.757,1366,Complex volcano,,1,,
1986,7,24,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,1,,
1986,8,21,Oku Volcanic Field,Africa-W,Cameroon,6.25,10.5,3011,Maar,3,1700,300,
1986,10,15,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,1,,
1986,11,15,Izu-Oshima,Izu Is-Japan,Japan,34.724,139.394,746,Stratovolcano,3,1,,
1987,4,17,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2,2,7,
1988,5,9,Banda Api,Banda Sea,Pacific Ocean,-4.523,129.881,596,Caldera,3,4,,
1988,7,6,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,1,,
1988,7,30,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,1,,
1988,12,25,Lonquimay,Chile-C,Chile,-38.379,-71.586,2832,Stratovolcano,3,1,,
1988,,,Akita-Yakeyama,Honshu-Japan,Japan,39.964,140.757,1366,Complex volcano,,3,,
1989,2,12,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,,1,,
1989,8,26,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,,2,,
1990,2,10,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,4,32,,
1990,3,26,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,1,,
1990,4,18,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,1,,
1990,6,24,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,,6,,
1990,7,19,Santa Maria,Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,3,4,,
1990,10,19,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,1,,
1990,11,21,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,,1,,
1990,11,25,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,,4,,
1991,6,3,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,1,43,,
1991,6,15,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,800,4,
1991,6,,Mutnovsky,Kamchatka,Russia,52.449,158.196,2288,Complex volcano,,1,,
1991,10,24,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,1,1,,
1992,1,21,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,2,2,,
1992,3,18,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,,1,2,
1992,4,10,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728,Cinder cone,3,11,50,
1992,5,11,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1,6,1,
1992,7,5,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,2,1,5,
1992,7,12,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,6,,
1992,9,17,Spurr,Alaska-SW,United States,61.299,-152.251,3374,Stratovolcano,4,1,,
1992,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,3,,
1993,1,14,Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,2,9,,
1993,1,21,Wurlali,Banda Sea,Indonesia,-7.125,128.675,868,Stratovolcano,,1,12,
1993,2,2,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,75,,
1993,3,12,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,1,2,,
1993,4,19,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,1,22,
1993,6,13,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,1,1,5,
1993,6,23,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,1,1,,
1993,6,26,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,4,,
1993,10,4,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,,14,,
1994,1,15,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3,1,,
1994,2,3,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,6,,
1994,5,29,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,1,1,,
1994,9,19,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,3,4,,
1994,11,3,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,3,31,,
1994,11,22,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,60,,
1995,2,4,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3,2,,
1995,2,11,Yakedake,Honshu-Japan,Japan,36.227,137.587,2455,Stratovolcano,1,4,,
1995,4,7,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,3,1,,1
1995,5,15,Kelimutu,Lesser Sunda Is,Indonesia,-8.77,121.82,1639,Complex volcano,,1,,
1995,9,6,Parker,Mindanao-Philippines,Philippines,6.113,124.892,1824,Stratovolcano,,60,,300
1996,4,30,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,3,5,,
1996,8,10,Kanlaon,Philippines-C,Philippines,10.412,123.132,2435,Stratovolcano,2,3,18,
1996,9,27,Maderas,Nicaragua,Nicaragua,11.446,-85.515,1394,Stratovolcano,,6,,
1996,12,3,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,3,13,29,
1997,1,14,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,6,,
1997,4,17,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1,3,,
1997,6,25,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,22,,
1997,7,12,Hakkodasan,Honshu-Japan,Japan,40.659,140.877,1585,Stratovolcano,,3,,
1997,8,1,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,2,,
1997,9,2,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,2,,
1997,9,15,Adatarayama,Honshu-Japan,Japan,37.647,140.281,1728,Stratovolcano,,4,,
1997,11,23,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,,2,,
1998,4,28,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,
1998,7,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,,10,,
1998,10,30,San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,1745,Stratovolcano,,1620,,
1999,10,5,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,3,2,,
1999,10,16,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,1,4,
2000,7,27,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,2,,
2000,8,23,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,2,1,
2000,11,3,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,2,,
2000,11,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,1,,
2001,5,14,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,1,,
2001,8,5,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,2,,
2001,10,20,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,1,,
2002,1,17,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,1,100,,
2002,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,3,,
2004,1,29,Egon,Lesser Sunda Is,Indonesia,-8.676,122.455,1661,Stratovolcano,1,1,,
2004,6,8,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,2,,,
2004,10,24,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,5,,
2005,1,27,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,1,14,
2005,10,1,Santa Ana,El Salvador,El Salvador,13.853,-89.63,2381,Stratovolcano,3,2,,
2006,3,17,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,,1,,
2006,6,7,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,1,,
2006,6,14,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,1,2,,
2006,7,18,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,1,,
2006,8,17,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,6,,
2006,11,30,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,1,1266,,
2007,3,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,4,1,
2007,7,7,Salak,Java,Indonesia,-6.716,106.733,2218,Stratovolcano,,6,,
2007,9,30,"Tair, Jebel at",Red Sea,Yemen,15.55,41.83,244,Stratovolcano,,7,,
2008,5,2,Chaiten,Chile-S,Chile,-42.833,-72.646,1122,Caldera,,1,,
2008,8,22,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,2,2,2
2008,11,20,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,,10,,
2010,3,31,Eyjafjallajokull,Iceland-S,Iceland,63.633,-19.633,1651,Stratovolcano,2,2,,
2010,5,27,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1,1,,3
2010,8,6,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,4,5,
2010,8,30,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,2,,
2010,10,26,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,367,277,
2011,1,3,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,1,1,
2011,2,23,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,1,,
2011,6,22,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,4,31,,
2011,7,17,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,,1,,
2011,12,27,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,3,4,,
2013,2,12,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,1,1,
2013,5,7,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,5,8,
2013,8,10,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,5,,
2013,12,13,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,1,,
2014,2,1,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,17,3,
2014,2,13,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,,7,,4098
2014,9,27,Ontakesan,Honshu-Japan,Japan,35.893,137.48,3067,Complex volcano,3,55,70,
2014,12,18,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,,1,4,
2015,10,16,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,1,,
2015,10,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,1,,
2016,5,9,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,1,4,
2016,5,21,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,7,3,
2016,6,9,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,,1,,
2017,7,1,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,,8,11,
2017,9,12,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,,3,,
2017,12,18,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,8,8,
2018,1,23,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,1,1,11,
2018,2,1,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,1,3,
2018,3,30,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,3,4,,
2018,6,3,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,201,27,186
2019,7,3,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,1,1,
2019,12,9,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,2,22,25,
2020,1,12,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,39,,4573
2020,5,29,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,1,,
2021,5,22,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,2,32,,5000
2021,9,19,La Palma,Canary Is,Spain,28.57,-17.83,2426,Stratovolcano,3,1,,1345
2021,12,4,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,4,45,169,2970
2022,6,22,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,2,1,,
2023,12,3,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,,23,12,
2023,12,18,Reykjanes,Iceland-SW,Iceland,63.817,-22.717,140,Crater rows,,1,,3
2024,4,20,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,1,,
2024,5,11,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,,67,33,521